model,AUC,Gini,Accuracy,Precision,Recall,F1
XGBoost,0.9996373727807814,0.9992747455615627,0.9915194346289753,0.9900426742532006,0.992867332382311,0.9914529914529915
RandomForest,0.9980390158916633,0.9960780317833267,0.9759717314487633,0.9757489300998573,0.9757489300998573,0.9757489300998573
LogisticRegression,0.92838761752918,0.85677523505836,0.9060070671378092,0.8413461538461539,0.9985734664764622,0.91324200913242
